Bandwidth (MB/s);Size (KBytes)
249.5;1000
5896.4;513000
6086.8;1025000
6105.1;1537000
6149.8;2049000
6160.6;2561000
6199.8;3073000
6172.9;3585000
6186.8;4097000
6157.2;4609000
6192.8;5121000
6179.3;5633000
6167.7;6145000
6203.2;6657000
6153.7;7169000
6200.0;7681000
6221.3;8193000
6205.0;8705000
6190.5;9217000
6199.7;9729000
6195.4;10241000
6206.0;10753000
6170.6;11265000
6199.2;11777000
6199.9;12289000
6216.7;12801000
6193.7;13313000
6193.9;13825000
6188.0;14337000
6204.8;14849000
6196.5;15361000
6226.0;15873000
6208.1;16385000
6200.7;16897000
6202.7;17409000
6221.7;17921000
6201.9;18433000
6193.2;18945000
6207.6;19457000
6208.8;19969000
6181.9;20481000
6197.3;20993000
6224.5;21505000
6203.5;22017000
6221.5;22529000
6217.4;23041000
6223.6;23553000
6134.2;24065000
6221.9;24577000
6219.2;25089000
6223.4;25601000
6223.0;26113000
6224.5;26625000
6122.0;27137000
6220.3;27649000
6208.7;28161000
6214.0;28673000
6169.6;29185000
6224.3;29697000
6207.4;30209000
6203.0;30721000
6220.6;31233000
6214.8;31745000
6225.7;32257000
6218.0;32769000
6231.5;33281000
6223.0;33793000
6220.3;34305000
6159.9;34817000
6202.7;35329000
6205.9;35841000
6189.5;36353000
6205.4;36865000
6209.0;37377000
6210.4;37889000
6214.4;38401000
6204.2;38913000
6207.3;39425000
6230.8;39937000
6218.5;40449000
6224.7;40961000
6222.3;41473000
6221.8;41985000
6226.8;42497000
6161.5;43009000
6228.6;43521000
6213.9;44033000
6207.2;44545000
6207.7;45057000
6212.5;45569000
6209.1;46081000
6189.0;46593000
6229.3;47105000
6212.0;47617000
6212.7;48129000
6215.0;48641000
6195.8;49153000
6203.7;49665000
6229.6;50177000
6209.1;50689000
6223.4;51201000
6226.2;51713000
6216.0;52225000
6226.3;52737000
6211.7;53249000
6218.3;53761000
6205.1;54273000
6225.7;54785000
6220.9;55297000
6186.2;55809000
6230.1;56321000
6221.8;56833000
6204.3;57345000
6208.1;57857000
6230.5;58369000
6209.6;58881000
6194.5;59393000
6207.0;59905000
6202.5;60417000
6205.4;60929000
6205.3;61441000
6196.8;61953000
6214.1;62465000
6203.7;62977000
6208.0;63489000